surah,ayah,status,char_lock_verified,original_thai,final_thai
2,4,CLEAN,True,และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนเจ้า และต่อวันปรโลกนั้น พวกเขาเชื่อมั่น,และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนเจ้า และต่อวันปรโลกนั้น พวกเขาเชื่อมั่น
2,5,SPACING_OPTIMIZED,True,ชนเหล่านี้ คือ ผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้ คือผู้ที่บรรลุผล,ชนเหล่านี้ คือผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้คือผู้ที่บรรลุผล
2,6,CLEAN,True,แท้จริงบรรดาผู้ที่ปฏิเสธการศรัทธานั้น ย่อมมีผลเท่ากันแก่พวกเขา เจ้าจะตักเตือนพวกเขาแล้วหรือยังมิได้ตักเตือน พวกเขาก็หาได้ศรัทธาไม่,แท้จริงบรรดาผู้ที่ปฏิเสธการศรัทธานั้น ย่อมมีผลเท่ากันแก่พวกเขา เจ้าจะตักเตือนพวกเขาแล้วหรือยังมิได้ตักเตือน พวกเขาก็หาได้ศรัทธาไม่
2,7,SPACING_OPTIMIZED,True,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้น จะได้รับการลงโทษอันมหันต์,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้นจะได้รับการลงโทษอันมหันต์
2,8,SPACING_OPTIMIZED,True,และจากหมู่ชนนั้น มีผู้กล่าวว่า เราได้ศรัทธาต่ออัลลอฮฺ และวันปรโลกแล้ว ทั้ง ๆ ที่พวกเขาหาใช่เป็นผู้ศรัทธาไม่,และจากหมู่ชนนั้น มีผู้กล่าวว่า เราได้ศรัทธาต่ออัลลอฮฺและวันปรโลกแล้ว ทั้ง ๆ ที่พวกเขาหาใช่เป็นผู้ศรัทธาไม่
2,9,CLEAN,True,เขาเหล่านั้นต่างหลอกลวงอัลลอฮฺ และบรรดาผู้ที่ศรัทธา และพวกเขาหาได้หลอกลวงใครไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึก,เขาเหล่านั้นต่างหลอกลวงอัลลอฮฺ และบรรดาผู้ที่ศรัทธา และพวกเขาหาได้หลอกลวงใครไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึก
2,10,SPACING_OPTIMIZED,True,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่ง ให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบ เนื่องจากการที่พวกเขากล่าวเท็จ,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่งให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบ เนื่องจากการที่พวกเขากล่าวเท็จ
2,11,SPACING_OPTIMIZED,True,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงอย่าก่อความเสียหายแก่แผ่นดินซิ พวกเขาก็กล่าวว่า ที่จริงนั้น เราเป็นผู้ปรับปรุงให้ดีต่างหาก,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงอย่าก่อความเสียหายแก่แผ่นดินซิ พวกเขาก็กล่าวว่า ที่จริงนั้นเราเป็นผู้ปรับปรุงให้ดีต่างหาก
2,12,CLEAN,True,พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละ เป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึก,พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละ เป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึก
2,13,REJECTED_CHARACTER_MISMATCH,False,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชน เขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้น ศรัทธากัน กระนั่นหรือ? พึงรู้เถิดว่า พวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลา แต่พวกเขาหารู้ไม่,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชน เขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้น ศรัทธากัน กระนั่นหรือ? พึงรู้เถิดว่า พวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลา แต่พวกเขาหารู้ไม่
2,14,CLEAN,True,และเมื่อพวกเขาพบบรรดาผู้ศรัทธา พวกเขาก็กล่าวว่า เราศรัทธาแล้ว และเมื่อพวกเขาได้ร่วมอยู่กับบรรดาหัวโจกของพวกเขาแต่ลำพัง พวกเขาก็กล่าวว่า แท้จริงเรายังอยู่กับพวกท่าน ที่จริงเราเป็นแต่เพียงผู้เย้ยหยันเท่านั้น,และเมื่อพวกเขาพบบรรดาผู้ศรัทธา พวกเขาก็กล่าวว่า เราศรัทธาแล้ว และเมื่อพวกเขาได้ร่วมอยู่กับบรรดาหัวโจกของพวกเขาแต่ลำพัง พวกเขาก็กล่าวว่า แท้จริงเรายังอยู่กับพวกท่าน ที่จริงเราเป็นแต่เพียงผู้เย้ยหยันเท่านั้น
2,15,CLEAN,True,อัลลอฮฺจะทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขาระเหเร่ร่อนอยู่ในการละเมิดของพวกเขาต่อไป,อัลลอฮฺจะทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขาระเหเร่ร่อนอยู่ในการละเมิดของพวกเขาต่อไป
2,16,SPACING_OPTIMIZED,True,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิด ด้วยทางที่ถูก ดังนั้น การค้าของพวกเขาจึงไม่ได้กำไร และทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิดด้วยทางที่ถูก ดังนั้นการค้าของพวกเขาจึงไม่ได้กำไร และทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง
2,17,SPACING_OPTIMIZED,True,อุปมาพวกเขานั้น ดังผู้ที่จุดไฟขึ้นครั้งเมื่อไฟได้ให้แสงสว่างแก่สิ่งที่อยู่รอบ ๆ ตัวเขา อัลลอฮฺก็ทรงนำเอาแสงสว่างของพวกเขาไป และปล่อยพวกเขาไว้ในบรรดาความมืด ซึ่งพวกเขาไม่สามารถจะมองเห็นได้,อุปมาพวกเขานั้น ดังผู้ที่จุดไฟขึ้น ครั้งเมื่อไฟได้ให้แสงสว่างแก่สิ่งที่อยู่รอบ ๆ ตัวเขา อัลลอฮฺก็ทรงนำเอาแสงสว่างของพวกเขาไป และปล่อยพวกเขาไว้ในบรรดาความมืด ซึ่งพวกเขาไม่สามารถจะมองเห็นได้
2,18,CLEAN,True,เขาเหล่านั้นเป็นคนหูหนวก เป็นใบ้ และตาบอด ดังนั้นพวกเขาจึงไม่สามารถจะกลับมาได้,เขาเหล่านั้นเป็นคนหูหนวก เป็นใบ้ และตาบอด ดังนั้นพวกเขาจึงไม่สามารถจะกลับมาได้
2,19,SPACING_OPTIMIZED,True,หรือดังฝนที่หลั่งลงมาจากฟากฟ้า โดยที่ในฝนนั้นมีทั้งบรรดาความมืด ฟ้าคำรณ และฟ้าแลบ พวกเขาจึงเอานิ้วมือของพวกเขาอุดหูไว้ เนื่องจากฟ้าผ่า ทั้งนี้เพราะกลัวความตาย และอัลลอฮฺนั้นทรงล้อม พวกปฏิเสธการศรัทธาเหล่านั้นไว้แล้ว,หรือดังฝนที่หลั่งลงมาจากฟากฟ้า โดยที่ในฝนนั้นมีทั้งบรรดาความมืด ฟ้าคำรณและฟ้าแลบ พวกเขาจึงเอานิ้วมือของพวกเขาอุดหูไว้ เนื่องจากฟ้าผ่า ทั้งนี้เพราะกลัวความตาย และอัลลอฮฺนั้นทรงล้อมพวกปฏิเสธการศรัทธาเหล่านั้นไว้แล้ว
2,20,CLEAN,True,สายฟ้าแลบแทบจะเฉี่ยวสายตาของพวกเขาไป คราใดที่มันให้แสงสว่างแก่พวกเขา พวกเขาก็เดินไปในแสงสว่างนั้น และเมื่อมันมืดลงแก่พวกเขา พวกเขาก็หยุดยืน และหากอัลลอฮฺทรงประสงค์แล้ว แน่นอนก็ทรงนำเอาหูและตาของพวกเขาไปแล้ว แท้จริงอัลลอฮฺนั้นทรงอานุภาพเหนือทุกสิ่งทุกอย่าง,สายฟ้าแลบแทบจะเฉี่ยวสายตาของพวกเขาไป คราใดที่มันให้แสงสว่างแก่พวกเขา พวกเขาก็เดินไปในแสงสว่างนั้น และเมื่อมันมืดลงแก่พวกเขา พวกเขาก็หยุดยืน และหากอัลลอฮฺทรงประสงค์แล้ว แน่นอนก็ทรงนำเอาหูและตาของพวกเขาไปแล้ว แท้จริงอัลลอฮฺนั้นทรงอานุภาพเหนือทุกสิ่งทุกอย่าง
2,21,SPACING_OPTIMIZED,True,มนุษย์เอ๋ย! จงเคารพอิบาดะฮฺ พระผู้เป็นเจ้าของพวกเจ้า ที่ทรงบังเกิดพวกเจ้า และบรรดาผู้ที่มาก่อนพวกเจ้าเถิด เพื่อว่าพวกเจ้าจะยำเกรง,มนุษย์เอ๋ย! จงเคารพอิบาดะฮฺพระผู้เป็นเจ้าของพวกเจ้า ที่ทรงบังเกิดพวกเจ้าและบรรดาผู้ที่มาก่อนพวกเจ้าเถิด เพื่อว่าพวกเจ้าจะยำเกรง
2,22,SPACING_OPTIMIZED,True,คือผู้ทรงให้แผ่นดินเป็นที่นอน และฟ้าเป็นอาคารแก่พวกเจ้า และทรงให้น้ำหลั่งลงมาจากฟากฟ้า แล้วได้ทรงให้บรรดาผลไม้ออกมา เนื่องด้วยน้ำนั้น ทั้งนี้เพื่อเป็นปัจจัยยังชีพแก่พวกเจ้า ดังนั้น พวกเจ้าจงอย่าให้มีผู้เท่าเทียมใด ๆ ขึ้น สำหรับอัลลอฮฺ โดยที่พวกเจ้าก็รู้กันอยู่,คือผู้ทรงให้แผ่นดินเป็นที่นอน และฟ้าเป็นอาคารแก่พวกเจ้า และทรงให้น้ำหลั่งลงมาจากฟากฟ้า แล้วได้ทรงให้บรรดาผลไม้ออกมาเนื่องด้วยน้ำนั้น ทั้งนี้เพื่อเป็นปัจจัยยังชีพแก่พวกเจ้า ดังนั้นพวกเจ้าจงอย่าให้มีผู้เท่าเทียมใด ๆ ขึ้นสำหรับอัลลอฮฺ โดยที่พวกเจ้าก็รู้กันอยู่
2,23,CLEAN,True,และหากปรากฏว่าพวกเจ้าอยู่ในความแคลงใจใด ๆ จากสิ่งที่ เราได้ลงมาแก่บ่าวของเราแล้ว ก็จงนำมาสักซูเราะฮฺหนึ่งเยี่ยงสิ่งนั้น และจงเชิญชวนผู้ที่อยู่ในหมู่พวกเจ้าอื่นนอกจากอัลลอฮฺ หากพวกเจ้าเป็นผู้พูดจริง,และหากปรากฏว่าพวกเจ้าอยู่ในความแคลงใจใด ๆ จากสิ่งที่ เราได้ลงมาแก่บ่าวของเราแล้ว ก็จงนำมาสักซูเราะฮฺหนึ่งเยี่ยงสิ่งนั้น และจงเชิญชวนผู้ที่อยู่ในหมู่พวกเจ้าอื่นนอกจากอัลลอฮฺ หากพวกเจ้าเป็นผู้พูดจริง
2,24,SPACING_OPTIMIZED,True,แต่พวกเจ้าก็ยังมิได้ทำ และจะไม่กระทำตลอดไปแล้ว ก็จงระวังไฟนรก ซึ่งเชื้อเพลิงของมันนั้นคือ มนุษย์ และหิน โดยที่มันได้ถูกเตรียมไว้ สำหรับบรรดาผู้ปฏิเสธศรัทธา,แต่พวกเจ้าก็ยังมิได้ทำ และจะไม่กระทำตลอดไปแล้ว ก็จงระวังไฟนรก ซึ่งเชื้อเพลิงของมันนั้นคือมนุษย์และหิน โดยที่มันได้ถูกเตรียมไว้สำหรับบรรดาผู้ปฏิเสธศรัทธา
2,25,SPACING_OPTIMIZED,True,และ (มุฮัมมัด) จงแจ้งข่าวดีแก่บรรดาผู้ศรัทธา และประกอบสิ่งที่ดีทั้งหลายว่า แน่นอนพวกเขาจะได้รับบรรดาสวนสวรรค์ ซึ่งมีแม่น้ำหลายสาย ไหลอยู่ภายใต้สวนสวรรค์เหล่านั้น คราใดที่พวกเขาได้รับผลไม้จากสวนสวรรค์นั้นเป็นเครื่องยังชีพ พวกเขาก็กล่าวว่า นี่คือสิ่งที่เราได้รับเป็นปัจจัยยังชีพมาก่อนแล้ว และสิ่งที่พวกเขาได้รับนั้น มีลักษณะคล้ายคลึงกัน และในสวรรค์นั้น พวกเขาจะได้รับคู่ครองที่บริสุทธิ์ และพวกเขาจะพำนักอยู่ในสวรรค์นั้นตลอดกาล,และ (มุฮัมมัด) จงแจ้งข่าวดีแก่บรรดาผู้ศรัทธา และประกอบสิ่งที่ดีทั้งหลายว่า แน่นอนพวกเขาจะได้รับบรรดาสวนสวรรค์ ซึ่งมีแม่น้ำหลายสายไหลอยู่ภายใต้สวนสวรรค์เหล่านั้น คราใดที่พวกเขาได้รับผลไม้จากสวนสวรรค์นั้นเป็นเครื่องยังชีพ พวกเขาก็กล่าวว่า นี่คือสิ่งที่เราได้รับเป็นปัจจัยยังชีพมาก่อนแล้ว และสิ่งที่พวกเขาได้รับนั้นมีลักษณะคล้ายคลึงกัน และในสวรรค์นั้นพวกเขาจะได้รับคู่ครองที่บริสุทธิ์ และพวกเขาจะพำนักอยู่ในสวรรค์นั้นตลอดกาล
2,26,SPACING_OPTIMIZED,True,แท้จริงอัลลอฮฺไม่ทรงละอาย ในการที่พระองค์จะทรงยกอุทาหรณ์ใด ๆ ขึ้นเปรียบเทียบ ไม่ว่าจะเป็นริ้นสักตัวหนึ่ง แล้วก็สิ่งที่ยิ่งไปกว่านั้นก็ตาม ส่วนบรรดาผู้ที่ศรัทธานั้น พวกเขาย่อมรู้ว่าแท้จริงมัน คือ ความจริงที่มาจากพระเจ้าของพวกเขา และส่วนบรรดาผู้ที่ปฏิเสธการศรัทธานั้น พวกเขาจะพูดว่า อัลลอฮฺทรงประสงค์สิ่งใดในการยกอุทาหรณ์ด้วยสิ่งนี้? พระองค์ทรงให้คนมากมายหลงผิดด้วยอุทาหรณ์นั้น และทรงแนะนำทางที่ถูกต้องแก่คนมากมายด้วยอุทาหรณ์นั้น และพระองค์จะไม่ทรงให้ใครหลงผิดด้วยอุทาหรณ์นั้น นอกจากผู้ที่ฝ่าฝืนเท่านั้น,แท้จริงอัลลอฮฺไม่ทรงละอาย ในการที่พระองค์จะทรงยกอุทาหรณ์ใด ๆ ขึ้นเปรียบเทียบ ไม่ว่าจะเป็นริ้นสักตัวหนึ่ง แล้วก็สิ่งที่ยิ่งไปกว่านั้นก็ตาม ส่วนบรรดาผู้ที่ศรัทธานั้น พวกเขาย่อมรู้ว่าแท้จริงมันคือความจริงที่มาจากพระเจ้าของพวกเขา และส่วนบรรดาผู้ที่ปฏิเสธการศรัทธานั้น พวกเขาจะพูดว่า อัลลอฮฺทรงประสงค์สิ่งใดในการยกอุทาหรณ์ด้วยสิ่งนี้? พระองค์ทรงให้คนมากมายหลงผิดด้วยอุทาหรณ์นั้น และทรงแนะนำทางที่ถูกต้องแก่คนมากมายด้วยอุทาหรณ์นั้น และพระองค์จะไม่ทรงให้ใครหลงผิดด้วยอุทาหรณ์นั้น นอกจากผู้ที่ฝ่าฝืนเท่านั้น
2,27,SPACING_OPTIMIZED,True,คือบรรดาผู้ที่ทำลายสัญญาของอัลลอฮฺหลังจากที่ได้มีสัญญาไว้แก่พระองค์ และตัดสิ่งที่อัลลอฮฺทรงใช้ให้ต่อ และบ่อนทำลายในผืนแผ่นดิน ชนเหล่านี้แหละ คือพวกที่ขาดทุน,คือบรรดาผู้ที่ทำลายสัญญาของอัลลอฮฺ หลังจากที่ได้มีสัญญาไว้แก่พระองค์ และตัดสิ่งที่อัลลอฮฺทรงใช้ให้ต่อ และบ่อนทำลายในผืนแผ่นดิน ชนเหล่านี้แหละ คือพวกที่ขาดทุน
2,28,CLEAN,True,พวกเจ้าจะปฏิเสธการศรัทธาต่ออัลลอฮฺได้อย่างไร? ทั้ง ๆ ที่พวกเจ้านั้นเคยปราศจากชีวิตมาก่อนแล้ว พระองค์ก็ทรงให้เจ้ามีชีวิตขึ้น ภายหลังก็จะทรงให้พวกเจ้าตาย แล้วก็จะทรงให้พวกเจ้ามีชีวิตขึ้นอีก และพวกเจ้าก็จะถูกนำกลับไปสู่พระองค์,พวกเจ้าจะปฏิเสธการศรัทธาต่ออัลลอฮฺได้อย่างไร? ทั้ง ๆ ที่พวกเจ้านั้นเคยปราศจากชีวิตมาก่อนแล้ว พระองค์ก็ทรงให้เจ้ามีชีวิตขึ้น ภายหลังก็จะทรงให้พวกเจ้าตาย แล้วก็จะทรงให้พวกเจ้ามีชีวิตขึ้นอีก และพวกเจ้าก็จะถูกนำกลับไปสู่พระองค์
2,29,CLEAN,True,พระองค์คือผู้ได้ทรงสร้างสิ่งทั้งมวลในโลกไว้สำหรับพวกเจ้า ภายหลังได้ทรงมุ่งสู่ฟากฟ้า และได้ทำให้มันสมบูรณ์ขึ้นเป็นเจ็ดชั้นฟ้า และพระองค์นั้นได้ทรงรอบรู้ในทุกสิ่งทุกอย่าง,พระองค์คือผู้ได้ทรงสร้างสิ่งทั้งมวลในโลกไว้สำหรับพวกเจ้า ภายหลังได้ทรงมุ่งสู่ฟากฟ้า และได้ทำให้มันสมบูรณ์ขึ้นเป็นเจ็ดชั้นฟ้า และพระองค์นั้นได้ทรงรอบรู้ในทุกสิ่งทุกอย่าง
2,30,SPACING_OPTIMIZED,True,และจงรำลึกถึงขณะที่พระเจ้าของเจ้าได้ตรัสแก่มลาอิกะฮฺว่า แท้จริงข้าจะให้มีผู้แทนคนหนึ่งในพิภพ มลาอิกะฮฺได้ทูลขึ้นว่า พระองค์จะทรงให้มีขึ้นในพิภพซึ่งผู้ที่บ่อนทำลาย และก่อการนองเลือด ในพิภพกระนั้นหรือ ทั้ง ๆ ที่พวกข้าพระองค์ให้ความบริสุทธิ์ พร้อมด้วยการสรรเสริญพระองค์ และเทิดทูนความบริสุทธิ์ในพระองค์ พระองค์ตรัสว่า แท้จริงข้ารู้ยิ่งในสิ่งที่พวกเจ้าไม่รู้,และจงรำลึกถึงขณะที่พระเจ้าของเจ้าได้ตรัสแก่มลาอิกะฮฺว่า แท้จริงข้าจะให้มีผู้แทนคนหนึ่งในพิภพ มลาอิกะฮฺได้ทูลขึ้นว่า พระองค์จะทรงให้มีขึ้นในพิภพซึ่งผู้ที่บ่อนทำลายและก่อการนองเลือดในพิภพกระนั้นหรือ ทั้ง ๆ ที่พวกข้าพระองค์ให้ความบริสุทธิ์พร้อมด้วยการสรรเสริญพระองค์ และเทิดทูนความบริสุทธิ์ในพระองค์ พระองค์ตรัสว่า แท้จริงข้ารู้ยิ่งในสิ่งที่พวกเจ้าไม่รู้
2,31,CLEAN,True,และพระองค์ได้ทรงสอนบรรดานามของทั้งปวงให้แก่อาดัม ภายหลังได้ทรงแสดงสิ่งเหล่านั้นแก่มลาอิกะฮฺ แล้วตรัสว่า จงบอกบรรดาชื่อของสิ่งเหล่านั้นแก่ข้า หากพวกเจ้าเป็นผู้พูดจริง,และพระองค์ได้ทรงสอนบรรดานามของทั้งปวงให้แก่อาดัม ภายหลังได้ทรงแสดงสิ่งเหล่านั้นแก่มลาอิกะฮฺ แล้วตรัสว่า จงบอกบรรดาชื่อของสิ่งเหล่านั้นแก่ข้า หากพวกเจ้าเป็นผู้พูดจริง
2,32,SPACING_OPTIMIZED,True,พวกเขา (บรรดามลาอิกะฮฺ) ทูลว่า มหาบริสุทธิ์พระองค์ท่าน ไม่มีความรู้ใด ๆ แก่พวกข้าพระองค์ นอกจากสิ่งที่พระองค์ได้ทรงสอนพวกข้าพระองค์เท่านั้น แท้จริงพระองค์ คือผู้ทรงรอบรู้ ผู้ทรงปรีชาญาณ,พวกเขา (บรรดามลาอิกะฮฺ) ทูลว่า มหาบริสุทธิ์พระองค์ท่าน ไม่มีความรู้ใด ๆ แก่พวกข้าพระองค์ นอกจากสิ่งที่พระองค์ได้ทรงสอนพวกข้าพระองค์เท่านั้น แท้จริงพระองค์คือผู้ทรงรอบรู้ ผู้ทรงปรีชาญาณ
2,33,REJECTED_CHARACTER_MISMATCH,False,พระองค์ตรัสว่า โอ้อาดัม! จงบอกบรรดาชื่อของสิ่งเหล่านั้นแก่พวกเขาที (บรรดามลาอิกะฮฺ) ครั้นเมื่ออาดัมได้บอกชื่อของสิ่งเหล่านั้นแก่พวกเขาแล้ว พระองค์จึงตรัสว่า ข้ามิได้บอกแก่พวกเจ้าดอกหรือว่า แท้จริงข้าเป็นผู้รู้ยิ่งซึ่งความเร้นลับแห่งชั้นฟ้าทั้งหลาย และแผ่นดิน และเป็นผู้รู้ยิ่งในสิ่งที่พวกเจ้าเปิดเผย และสิ่งที่พวกเจ้าปกปิด,พระองค์ตรัสว่า โอ้อาดัม! จงบอกบรรดาชื่อของสิ่งเหล่านั้นแก่พวกเขาที (บรรดามลาอิกะฮฺ) ครั้นเมื่ออาดัมได้บอกชื่อของสิ่งเหล่านั้นแก่พวกเขาแล้ว พระองค์จึงตรัสว่า ข้ามิได้บอกแก่พวกเจ้าดอกหรือว่า แท้จริงข้าเป็นผู้รู้ยิ่งซึ่งความเร้นลับแห่งชั้นฟ้าทั้งหลาย และแผ่นดิน และเป็นผู้รู้ยิ่งในสิ่งที่พวกเจ้าเปิดเผย และสิ่งที่พวกเจ้าปกปิด
2,34,SPACING_OPTIMIZED,True,และจงรำลึกถึง ขณะที่เราได้กล่าวแก่มลาอิกะฮฺว่า พวกเจ้าจงสุยูด แก่อาดัมเถิด แล้วพวกเขาก็สุยูดกัน นอกจากอิบลีส โดยที่มันไม่ยอมสุยูด และแสดงโอหัง และมันจึงได้กลายเป็นผู้สิ้นสภาพแห่งการศรัทธา (กาฟิรฺ),และจงรำลึกถึง ขณะที่เราได้กล่าวแก่มลาอิกะฮฺว่า พวกเจ้าจงสุยูดแก่อาดัมเถิด แล้วพวกเขาก็สุยูดกัน นอกจากอิบลีส โดยที่มันไม่ยอมสุยูดและแสดงโอหัง และมันจึงได้กลายเป็นผู้สิ้นสภาพแห่งการศรัทธา (กาฟิรฺ)
2,35,SPACING_OPTIMIZED,True,และเราได้กล่าวว่า โอ้ อาดัม ! เจ้าและคู่ครองของเจ้าจงพำนักอยู่ในสวนสวรรค์นั้นเถิด และเจ้าทั้งสองจงบริโภคจากสวนนั้นอย่างกว้างขวาง ณ ที่ที่เจ้าทั้งสองปรารถนา และอย่าเข้าใกล้ต้นไม้ต้นนี้ (มิเช่นนั้นแล้ว) เจ้าทั้งสองจะกลายเป็นผู้อธรรมแก่ตัวเอง,และเราได้กล่าวว่า โอ้ อาดัม! เจ้าและคู่ครองของเจ้าจงพำนักอยู่ในสวนสวรรค์นั้นเถิด และเจ้าทั้งสองจงบริโภคจากสวนนั้นอย่างกว้างขวาง ณ ที่ที่เจ้าทั้งสองปรารถนา และอย่าเข้าใกล้ต้นไม้ต้นนี้ (มิเช่นนั้นแล้ว) เจ้าทั้งสองจะกลายเป็นผู้อธรรมแก่ตัวเอง
