surah,ayah,issue_type,explanation,target_phrase,replacement_phrase,guardrail_status,original_thai,proposed_thai,arabic_anchor,malay_anchor,malay_reference,arabic_text,reviewer_decision
4,37,MISTRANSLATION,"The parenthetical phrase '(แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล)' is an unauthorized addition not present in the Arabic text of verse 37. It appears to be an interpolation of the meaning of verse 38 or general commentary, which violates the rule against adding non-existent clauses to the translation.",(แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล),,Unauthorized deletion of parenthetical tafsir note: {'(แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล)'},บรรดาผู้ที่ตระหนี่ และใช้ผู้คนให้ตระหนี่ และปกปิดสิ่งที่อัลลอฮฺได้ทรงประทานให้แก่พวกเขา จากความกรุณาของพระองค์นั้น (แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล) และเราได้เตรียมไว้แล้ว ซึ่งการลงโทษที่ยังความอัปยศแก่ผู้ปฏิเสธศรัทธาทั้งหลาย,บรรดาผู้ที่ตระหนี่ และใช้ผู้คนให้ตระหนี่ และปกปิดสิ่งที่อัลลอฮฺได้ทรงประทานให้แก่พวกเขา จากความกรุณาของพระองค์นั้น (แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล) และเราได้เตรียมไว้แล้ว ซึ่งการลงโทษที่ยังความอัปยศแก่ผู้ปฏิเสธศรัทธาทั้งหลาย,وَيَكۡتُمُونَ مَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضۡلِهِۦۗ,serta menyembunyikan apa-apa jua yang Allah berikan kepada mereka dari limpah kurnianya.,Iaitu orang-orang yang bakhil dan menyuruh manusia supaya bakhil serta menyembunyikan apa-apa jua yang Allah berikan kepada mereka dari limpah kurnianya. Dan (sebenarnya) Kami telah sediakan bagi orang-orang kafir itu azab seksa yang amat menghina;,ٱلَّذِينَ يَبۡخَلُونَ وَيَأۡمُرُونَ ٱلنَّاسَ بِٱلۡبُخۡلِ وَيَكۡتُمُونَ مَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضۡلِهِۦۗ وَأَعۡتَدۡنَا لِلۡكَٰفِرِينَ عَذَابٗا مُّهِينٗا | ٣٧,
4,38,MISTRANSLATION,"The parenthetical addition '(แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล)' is an interpolation not present in the Arabic text of verse 38. While the meaning may be inferred from context, it is not a translation of the specific Arabic clause provided in this verse.",(แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล),,Unauthorized deletion of parenthetical tafsir note: {'(แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล)'},และบรรดาผู้ที่บริจาคทรัพย์ของพวกเขา เพื่อโอ้อวดผู้คน และทั้งพวกเขาก็ไม่ศรัทธาต่ออัลลอฮฺ และไม่ศรัทธาต่อวันปรโลกนั้น (แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล) และผู้ใดที่มีชัยฏอนเป็นเพื่อนของเขาแล้ว มันก็เป็นเพื่อนที่เลว,และบรรดาผู้ที่บริจาคทรัพย์ของพวกเขา เพื่อโอ้อวดผู้คน และทั้งพวกเขาก็ไม่ศรัทธาต่ออัลลอฮฺ และไม่ศรัทธาต่อวันปรโลกนั้น (แน่นอนพวกเขาจะอยู่ในนรกตลอดกาล) และผู้ใดที่มีชัยฏอนเป็นเพื่อนของเขาแล้ว มันก็เป็นเพื่อนที่เลว,وَمَن يَكُنِ ٱلشَّيۡطَٰنُ لَهُۥ قَرِينٗا,Dan sesiapa yang (mengambil) Syaitan itu menjadi kawannya,"Dan juga orang-orang yang membelanjakan hartanya dengan menunjuk-nunjuk kepada manusia (riak), dan mereka tidak pula beriman kepada Allah dan tidak juga beriman kepada hari akhirat. Dan sesiapa yang (mengambil) Syaitan itu menjadi kawannya, maka seburuk-buruk kawan ialah syaitan.",وَٱلَّذِينَ يُنفِقُونَ أَمۡوَٰلَهُمۡ رِئَآءَ ٱلنَّاسِ وَلَا يُؤۡمِنُونَ بِٱللَّهِ وَلَا بِٱلۡيَوۡمِ ٱلۡأٓخِرِۗ وَمَن يَكُنِ ٱلشَّيۡطَٰنُ لَهُۥ قَرِينٗا فَسَآءَ قَرِينٗا | ٣٨,
4,40,TYPO,The phrase 'สิ่งที่ดีอย่างหนึ่งอย่างใด' is unnecessarily wordy and slightly deviates from the standard theological translation of 'hasanah' (good deed/virtue) in this context. 'ความดีอย่างหนึ่ง' is more precise and aligns with the Malay 'amal kebajikan'.,สิ่งที่ดีอย่างหนึ่งอย่างใด,ความดีอย่างหนึ่ง,PASSED_GUARDRAIL,แท้จริงอัลลอฮฺ จะไม่ทรงอธรรมแม้เพียงน้ำหนักเท่าผงธุลี และถ้ามันเป็นสิ่งที่ดีอย่างหนึ่งอย่างใด พระองค์ก็จะทรงเพิ่มพูนความดีนั้นเป็นทวีคูณ และทรงประทานให้จากที่พระองค์ ซึ่งรางวัลอันใหญ่หลวง,แท้จริงอัลลอฮฺ จะไม่ทรงอธรรมแม้เพียงน้ำหนักเท่าผงธุลี และถ้ามันเป็นความดีอย่างหนึ่ง พระองค์ก็จะทรงเพิ่มพูนความดีนั้นเป็นทวีคูณ และทรงประทานให้จากที่พระองค์ ซึ่งรางวัลอันใหญ่หลวง,حَسَنَةٗ,amal kebajikan,"Sesungguhnya Allah tidak sekali-kali menganiaya (seseorang) sekalipun seberat zarah (debu). Dan kalaulah (amal yang seberat zarrah) itu amal kebajikan, nescaya akan menggandakannya dan akan memberi, dari sisiNya, pahala yang amat besar.",إِنَّ ٱللَّهَ لَا يَظۡلِمُ مِثۡقَالَ ذَرَّةٖۖ وَإِن تَكُ حَسَنَةٗ يُضَٰعِفۡهَا وَيُؤۡتِ مِن لَّدُنۡهُ أَجۡرًا عَظِيمٗا | ٤٠,
4,42,MISTRANSLATION,"The current Thai translation 'ทับถมพวกเขาจนราบเรียบไป' implies the earth is burying them, whereas the Arabic 'تُسَوَّىٰ بِهِمُ' means the earth is leveled to be equal with them (i.e., they wish to be one with the dust/earth). The replacement aligns with the standard interpretation of being leveled with the ground.",หากว่าแผ่นดินถูกทำให้ทับถมพวกเขาจนราบเรียบไป,หากว่าแผ่นดินจะถูกทำให้ราบเรียบเสมอกันกับพวกเขา,PASSED_GUARDRAIL,ในวันนั้น บรรดาผู้ที่ปฏิเสธศรัทธา และดื้อดึงต่อรอซูลต่างก็ปรารถนา หากว่าแผ่นดินถูกทำให้ทับถมพวกเขาจนราบเรียบไป และพวกเขาไม่สามารถจะปิดบังคำพูดใด ๆ แก่อัลลอฮฺได้,ในวันนั้น บรรดาผู้ที่ปฏิเสธศรัทธา และดื้อดึงต่อรอซูลต่างก็ปรารถนา หากว่าแผ่นดินจะถูกทำให้ราบเรียบเสมอกันกับพวกเขา และพวกเขาไม่สามารถจะปิดบังคำพูดใด ๆ แก่อัลลอฮฺได้,لَوۡ تُسَوَّىٰ بِهِمُ ٱلۡأَرۡضُ,suka jika mereka disama ratakan dengan tanah,"Pada hari itu orang-orang yang kafir dan menderhaka kepada Rasulullah, suka jika mereka disama ratakan dengan tanah (ditelan bumi), dan (ketika itu) mereka tidak dapat menyembunyikan sepatah kata pun dari pengetahuan Allah.",يَوۡمَئِذٖ يَوَدُّ ٱلَّذِينَ كَفَرُواْ وَعَصَوُاْ ٱلرَّسُولَ لَوۡ تُسَوَّىٰ بِهِمُ ٱلۡأَرۡضُ وَلَا يَكۡتُمُونَ ٱللَّهَ حَدِيثٗا | ٤٢,
4,43,MISTRANSLATION,"The Arabic text 'وَلَا جُنُبًا' in this context refers to the prohibition of entering the mosque while in a state of Janabah, not the prayer itself (as the prayer is already prohibited by the previous clause). The current Thai translation incorrectly repeats 'เข้าใกล้การละหมาด' (approach prayer) which contradicts the established Tafsir and the Malay reference.",และก็จงอย่าเข้าใกล้การละหมาด ขณะที่เป็นผู้มีญะนาบะฮฺ,และอย่าเข้าใกล้ (มัสยิด) ขณะที่เป็นผู้มีญะนาบะฮฺ,PASSED_GUARDRAIL,ผู้ศรัทธาทั้งหลาย จงอย่าเข้าใกล้การละหมาด ขณะที่พวกเจ้ากำลังมึนเมาอยู่ จนกว่าพวกเจ้าจะรู้สิ่งที่พวกเจ้าพูด และก็จงอย่าเข้าใกล้การละหมาด ขณะที่เป็นผู้มีญะนาบะฮฺ นอกจากผู้ที่ผ่านทางไปเท่านั้น จนกว่าพวกเจ้าจะอาบน้ำ และหากพวกเจ้าป่วยหรืออยู่ในการเดินทาง หรือคนหนึ่งคนใดในพวกเจ้ามาจากที่ถ่ายทุกข์ หรือพวกเจ้าสัมผัสผู้หญิง แล้วพวกเจ้าไม่พบน้ำ ก็จงมุ่งสู่ดินที่ดี แล้วจงลูบใบหน้าของพวกเจ้า และมือของพวกเจ้า แท้จริงอัลลอฮฺ เป็นผู้ทรงอภัย ผู้ทรงยกโทษเสมอ,ผู้ศรัทธาทั้งหลาย จงอย่าเข้าใกล้การละหมาด ขณะที่พวกเจ้ากำลังมึนเมาอยู่ จนกว่าพวกเจ้าจะรู้สิ่งที่พวกเจ้าพูด และอย่าเข้าใกล้ (มัสยิด) ขณะที่เป็นผู้มีญะนาบะฮฺ นอกจากผู้ที่ผ่านทางไปเท่านั้น จนกว่าพวกเจ้าจะอาบน้ำ และหากพวกเจ้าป่วยหรืออยู่ในการเดินทาง หรือคนหนึ่งคนใดในพวกเจ้ามาจากที่ถ่ายทุกข์ หรือพวกเจ้าสัมผัสผู้หญิง แล้วพวกเจ้าไม่พบน้ำ ก็จงมุ่งสู่ดินที่ดี แล้วจงลูบใบหน้าของพวกเจ้า และมือของพวกเจ้า แท้จริงอัลลอฮฺ เป็นผู้ทรงอภัย ผู้ทรงยกโทษเสมอ,وَلَا جُنُبًا,Dan janganlah pula (hampiri masjid) sedang kamu dalam keadaan Junub,"Wahai orang-orang yang beriman, janganlah kamu hampiri sembahyang (mengerjakannya) sedang kamu dalam keadaan mabuk, hingga kamu sedar dan mengetahui akan apa yang kamu katakan. Dan janganlah pula (hampiri masjid) sedang kamu dalam keadaan Junub (berhadas besar) - kecuali kamu hendak melintas sahaja - hingga kamu mandi bersuci. Dan jika kamu sakit, atau sedang dalam musafir, atau salah seorang di antara kamu datang dari tempat buang air, atau kamu bersentuh dengan perempuan, kemudian kamu tidak mendapat air (untuk mandi atau berwuduk), maka hendaklah kamu bertayamum dengan tanah - debu, yang suci, iaitu sapukanlah ke muka kamu dan kedua tangan kamu. Sesungguhnya Allah Maha Pemaaf, lagi Maha Pengampun.",يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا تَقۡرَبُواْ ٱلصَّلَوٰةَ وَأَنتُمۡ سُكَٰرَىٰ حَتَّىٰ تَعۡلَمُواْ مَا تَقُولُونَ وَلَا جُنُبًا إِلَّا عَابِرِي سَبِيلٍ حَتَّىٰ تَغۡتَسِلُواْۚ وَإِن كُنتُم مَّرۡضَىٰٓ أَوۡ عَلَىٰ سَفَرٍ أَوۡ جَآءَ أَحَدٞ مِّنكُم مِّنَ ٱلۡغَآئِطِ أَوۡ لَٰمَسۡتُمُ ٱلنِّسَآءَ فَلَمۡ تَجِدُواْ مَآءٗ فَتَيَمَّمُواْ صَعِيدٗا طَيِّبٗا فَٱمۡسَحُواْ بِوُجُوهِكُمۡ وَأَيۡدِيكُمۡۗ إِنَّ ٱللَّهَ كَانَ عَفُوًّا غَفُورًا | ٤٣,
4,46,TYPO,The word 'เห' is a typographical error (likely a remnant of a previous draft or a typo for 'หันเห') which is redundant and grammatically incorrect in this context. Removing it aligns with the standard translation of 'عَن مَّوَاضِعِهِۦ' (from its places).,ให้เหออกจากที่ของมัน,ออกจากที่ของมัน,PASSED_GUARDRAIL,จากบางคนในหมู่ผู้เป็นยิวนั้น พวกเขาบิดเบือนบรรดาถ้อยคำให้เหออกจากที่ของมัน และพวกเขากล่าวว่า เราได้ยินกันแล้ว และเราก็ได้ฝ่าฝืนกันแล้ว และท่านจงฟัง โดยที่มิใช่เป็นผู้ได้ยิน และจงสดับฟังเรา โดยบิดลิ้นของพวกเขา และใส่ร้ายในศาสนา และหากว่าพวกเขากล่าวว่า เราได้ยินกันแล้ว และได้เชื่อฟังกันแล้ว และท่านจงฟัง และมองดูเราเถิด ก็จะเป็นสิ่งดีกว่าแก่พวกเขา และเที่ยงตรงกว่า แต่ทว่าอัลลอฮฺได้ทรงละอฺนัตพวกเขาเสียแล้ว เนื่องด้วยการปฏิเสธศรัทธาของพวกเขา ดังนั้นพวกเขาจึงไม่ศรัทธากัน นอกจากเพียงเล็กน้อยเท่านั้น,จากบางคนในหมู่ผู้เป็นยิวนั้น พวกเขาบิดเบือนบรรดาถ้อยคำออกจากที่ของมัน และพวกเขากล่าวว่า เราได้ยินกันแล้ว และเราก็ได้ฝ่าฝืนกันแล้ว และท่านจงฟัง โดยที่มิใช่เป็นผู้ได้ยิน และจงสดับฟังเรา โดยบิดลิ้นของพวกเขา และใส่ร้ายในศาสนา และหากว่าพวกเขากล่าวว่า เราได้ยินกันแล้ว และได้เชื่อฟังกันแล้ว และท่านจงฟัง และมองดูเราเถิด ก็จะเป็นสิ่งดีกว่าแก่พวกเขา และเที่ยงตรงกว่า แต่ทว่าอัลลอฮฺได้ทรงละอฺนัตพวกเขาเสียแล้ว เนื่องด้วยการปฏิเสธศรัทธาของพวกเขา ดังนั้นพวกเขาจึงไม่ศรัทธากัน นอกจากเพียงเล็กน้อยเท่านั้น,عَن مَّوَاضِعِهِۦ,dari tempat dan maksudnya,"Di antara orang-orang Yahudi ada yang mengubah (atau menukar ganti) Kalamullah (isi Kitab Taurat), dari tempat dan maksudnya yang sebenar, dan berkata (kepada Nabi Muhammad): ""Kami dengar"", (sedang mereka berkata dalam hati): ""Kami tidak akan menurut"". (Mereka juga berkata): ""Tolonglah dengar, tuan tidak diperdengarkan sesuatu yang buruk"", serta (mereka mengatakan): ""Raaeina""; (Tujuan kata-kata mereka yang tersebut) hanya memutar belitkan perkataan mereka dan mencela ugama Islam. Dan kalaulah mereka berkata: ""Kami dengar dan kami taat, dan dengarlah serta berilah perhatian kepada kami"", tentulah yang demikian itu lebih baik bagi mereka dan lebih betul. Akan tetapi Allah melaknat mereka dengan sebab kekufuran mereka. Oleh itu, mereka tidak beriman kecuali sedikit sahaja (di antara mereka).",مِّنَ ٱلَّذِينَ هَادُواْ يُحَرِّفُونَ ٱلۡكَلِمَ عَن مَّوَاضِعِهِۦ وَيَقُولُونَ سَمِعۡنَا وَعَصَيۡنَا وَٱسۡمَعۡ غَيۡرَ مُسۡمَعٖ وَرَٰعِنَا لَيَّۢا بِأَلۡسِنَتِهِمۡ وَطَعۡنٗا فِي ٱلدِّينِۚ وَلَوۡ أَنَّهُمۡ قَالُواْ سَمِعۡنَا وَأَطَعۡنَا وَٱسۡمَعۡ وَٱنظُرۡنَا لَكَانَ خَيۡرٗا لَّهُمۡ وَأَقۡوَمَ وَلَٰكِن لَّعَنَهُمُ ٱللَّهُ بِكُفۡرِهِمۡ فَلَا يُؤۡمِنُونَ إِلَّا قَلِيلٗا | ٤٦,
4,47,MISTRANSLATION,"The Arabic verb 'نَّطۡمِسَ' (we efface) is followed by a direct address to the People of the Book ('أُوتُواْ ٱلۡكِتَٰبَ' - you). The Thai translation incorrectly switches to the third person ('ของพวกเขา' - their) instead of the second person ('ของพวกเจ้า' - your), which is inconsistent with the preceding 'พวกเจ้า' (you) in the same verse.",ก่อนจากที่เราจะลบใบหน้าของพวกเขา,ก่อนที่เราจะลบใบหน้าของพวกเจ้า,PASSED_GUARDRAIL,บรรดาผู้ที่ได้รับคัมภีร์ทั้งหลาย จงศรัทธาต่อสิ่งที่เราได้ให้ลงมา เพื่อยืนยันสิ่งที่มีอยู่กับพวกเจ้าเถิด ก่อนจากที่เราจะลบใบหน้าของพวกเขา แล้วให้มันกลับไปอยู่ข้างหลังของมัน หรือไม่ ก็จะสาปพวกเขาเช่นเดียวกับที่เราได้สาปบรรดาผู้ที่ทำการละเมิดในวันสับบะโต และคำสั่งของอัลลอฮฺนั้นย่อมถูกปฏิบัติตามเสมอ,บรรดาผู้ที่ได้รับคัมภีร์ทั้งหลาย จงศรัทธาต่อสิ่งที่เราได้ให้ลงมา เพื่อยืนยันสิ่งที่มีอยู่กับพวกเจ้าเถิด ก่อนที่เราจะลบใบหน้าของพวกเจ้า แล้วให้มันกลับไปอยู่ข้างหลังของมัน หรือไม่ ก็จะสาปพวกเขาเช่นเดียวกับที่เราได้สาปบรรดาผู้ที่ทำการละเมิดในวันสับบะโต และคำสั่งของอัลลอฮฺนั้นย่อมถูกปฏิบัติตามเสมอ,مِّن قَبۡلِ أَن نَّطۡمِسَ وُجُوهٗا,sebelum Kami menyeksa dengan menghapuskan bentuk muka kamu,"Wahai orang-orang yang telah diberikan Kitab, berimanlah kamu dengan apa yang telah Kami turunkan (Al-Quran), yang mengesahkan Kitab-Kitab yang ada pada kamu, sebelum Kami menyeksa dengan menghapuskan bentuk muka kamu (sehingga berubah menjadi rata - tidak bermulut, berhidung dan bermata), lalu Kami menjadikannya sama seperti rupa sebelah belakangnya, atau Kami melaknatkan mereka sebagaimana Kami telah melaknatkan orang-orang (dari kaum mereka - Yahudi) yang melanggar larangan bekerja pada hari Sabtu. Dan (ingatlah) perintah Allah itu tetap berlaku.",يَٰٓأَيُّهَا ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ ءَامِنُواْ بِمَا نَزَّلۡنَا مُصَدِّقٗا لِّمَا مَعَكُم مِّن قَبۡلِ أَن نَّطۡمِسَ وُجُوهٗا فَنَرُدَّهَا عَلَىٰٓ أَدۡبَارِهَآ أَوۡ نَلۡعَنَهُمۡ كَمَا لَعَنَّآ أَصۡحَٰبَ ٱلسَّبۡتِۚ وَكَانَ أَمۡرُ ٱللَّهِ مَفۡعُولًا | ٤٧,
4,49,TYPO,"The word 'มิได้' (did not) is a mistranslation of the particle 'بَلِ' (bal), which functions here as an adversative conjunction meaning 'rather' or 'nay' (ทว่า). 'มิได้' creates a negative contradiction that is not present in the Arabic text.",มิได้ อัลลอฮฺต่างหาก,ทว่าอัลลอฮฺต่างหาก,PASSED_GUARDRAIL,เจ้ามิได้มองดูบรรดาผู้ที่ให้ตัวเองเป็นผู้บริสุทธิ์ดอกหรือ มิได้ อัลลอฮฺต่างหากที่จะให้บริสุทธิ์ ซึ่งผู้ที่พระองค์ทรงประสงค์ และพวกเขาจะไม่ถูกอธรรมแม้เพียงขนาดร่องเมล็ดอินทผลัม,เจ้ามิได้มองดูบรรดาผู้ที่ให้ตัวเองเป็นผู้บริสุทธิ์ดอกหรือ ทว่าอัลลอฮฺต่างหากที่จะให้บริสุทธิ์ ซึ่งผู้ที่พระองค์ทรงประสงค์ และพวกเขาจะไม่ถูกอธรรมแม้เพียงขนาดร่องเมล็ดอินทผลัม,بَلِ ٱللَّهُ,bahkan Allah,Tidakkah engkau perhatikan (dan merasa pelik wahai Muhammad) kepada orang-orang yang membersihkan (memuji) diri sendiri? (Padahal perkara itu bukan hak manusia) bahkan Allah jualah yang berhak membersihkan (memuji) sesiapa yang dikehendakiNya (menurut aturan SyariatNya); dan mereka pula tidak akan dianiaya (atau dikurangkan balasan mereka) sedikitpun.,أَلَمۡ تَرَ إِلَى ٱلَّذِينَ يُزَكُّونَ أَنفُسَهُمۚ بَلِ ٱللَّهُ يُزَكِّي مَن يَشَآءُ وَلَا يُظۡلَمُونَ فَتِيلًا | ٤٩,
4,50,MISTRANSLATION,"The Arabic pronoun 'بِهِۦ' (bihi) refers back to the act of lying (the act of fabrication), not the lie itself. The current Thai translation 'ความเท็จนั้น' (that lie) is less accurate than 'การกระทำนั้น' (that act/deed) which aligns with the Malay 'perbuatan itu'.",และพอเพียงแล้วที่ความเท็จนั้นเป็นบาปอันชัดแจ้ง,และพอเพียงแล้วที่การกระทำนั้นเป็นบาปอันชัดแจ้ง,PASSED_GUARDRAIL,จงดูเถิดว่า อย่างไรเล่า ที่พวกเขาอุปโลกน์ความเท็จให้แก่อัลลอฮฺ และพอเพียงแล้วที่ความเท็จนั้นเป็นบาปอันชัดแจ้ง,จงดูเถิดว่า อย่างไรเล่า ที่พวกเขาอุปโลกน์ความเท็จให้แก่อัลลอฮฺ และพอเพียงแล้วที่การกระทำนั้นเป็นบาปอันชัดแจ้ง,وَكَفَىٰ بِهِۦٓ إِثۡمٗا مُّبِينًا,Dan cukuplah perbuatan itu menjadi dosa yang terang nyata,Lihatlah (wahai Muhammad) betapa beraninya mereka mengada-adakan perkara-perkara dusta terhadap Allah? Dan cukuplah perbuatan itu menjadi dosa yang terang nyata.,ٱنظُرۡ كَيۡفَ يَفۡتَرُونَ عَلَى ٱللَّهِ ٱلۡكَذِبَۖ وَكَفَىٰ بِهِۦٓ إِثۡمٗا مُّبِينًا | ٥٠,
4,51,MISTRANSLATION,"The Arabic 'أَهْدَىٰ ... سَبِيلًا' refers to being 'more guided' or 'more correct in their path/way'. The current Thai translation 'เที่ยงตรง' (upright/straight) is slightly imprecise in this context compared to 'แนวทางที่ถูกต้อง' (more correct path), which aligns better with the Malay 'lebih betul jalan ugamanya'.",ผู้อยู่ในทางที่เที่ยงตรงกว่า,อยู่ในแนวทางที่ถูกต้องกว่า,PASSED_GUARDRAIL,เจ้ามิได้มองดูบรรดาผู้ที่ได้รับส่วนหนึ่งจากคัมภีร์ดอกหรือ โดยที่พวกเขาศรัทธาต่ออัลญิบติ และอัฏ-ฏอฆูต และกล่าวแก่บรรดาผู้ปฏิเสธศรัทธาว่า พวกเขาเหล่านี้แหละเป็นผู้อยู่ในทางที่เที่ยงตรงกว่าบรรดาผู้ศรัทธาทั้งหลาย,เจ้ามิได้มองดูบรรดาผู้ที่ได้รับส่วนหนึ่งจากคัมภีร์ดอกหรือ โดยที่พวกเขาศรัทธาต่ออัลญิบติ และอัฏ-ฏอฆูต และกล่าวแก่บรรดาผู้ปฏิเสธศรัทธาว่า พวกเขาเหล่านี้แหละเป็นอยู่ในแนวทางที่ถูกต้องกว่าบรรดาผู้ศรัทธาทั้งหลาย,أَهْدَىٰ ... سَبِيلًا,lebih betul jalan ugamanya,"Tidakkah engkau perhatikan (dan merasa pelik wahai Muhammad) kepada orang-orang yang telah diberikan sebahagian dari Kitab (Taurat)? Mereka percaya kepada benda-benda yang disembah yang lain dari Allah, dan kepada Taghut, dan mereka pula berkata kepada orang-orang kafir (kaum musyrik di Makkah) bahawa mereka (kaum musyrik itu) lebih betul jalan ugamanya daripada orang-orang yang beriman (kepada Nabi Muhammad s.a.w).",أَلَمۡ تَرَ إِلَى ٱلَّذِينَ أُوتُواْ نَصِيبٗا مِّنَ ٱلۡكِتَٰبِ يُؤۡمِنُونَ بِٱلۡجِبۡتِ وَٱلطَّٰغُوتِ وَيَقُولُونَ لِلَّذِينَ كَفَرُواْ هَٰٓؤُلَآءِ أَهۡدَىٰ مِنَ ٱلَّذِينَ ءَامَنُواْ سَبِيلًا | ٥١,
4,54,MISTRANSLATION,"The Arabic verb 'ءَاتَيۡنَآ' (Aatayna) is in the first-person plural (We), referring to Allah. The current Thai translation uses 'พระองค์' (He), which is a mistranslation of the pronoun/verb conjugation.",แท้จริงนั้น พระองค์ได้ประทานให้แก่วงศ์วานของอิบรอฮีมมาแล้ว,แท้จริงเราได้ประทานให้แก่วงศ์วานของอิบรอฮีมมาแล้ว,PASSED_GUARDRAIL,หรือว่าพวกเขาอิจฉาคนอื่น ในสิ่งที่อัลลอฮฺทรงประทานให้แก่พวกเขา จากความกรุณาของพระองค์ แท้จริงนั้น พระองค์ได้ประทานให้แก่วงศ์วานของอิบรอฮีมมาแล้ว ซึ่งคัมภีร์ และความรู้เกี่ยวกับศาสนา และได้ทรงให้แก่พวกเขาซึ่งอำนาจอันยิ่งใหญ่,หรือว่าพวกเขาอิจฉาคนอื่น ในสิ่งที่อัลลอฮฺทรงประทานให้แก่พวกเขา จากความกรุณาของพระองค์ แท้จริงเราได้ประทานให้แก่วงศ์วานของอิบรอฮีมมาแล้ว ซึ่งคัมภีร์ และความรู้เกี่ยวกับศาสนา และได้ทรงให้แก่พวกเขาซึ่งอำนาจอันยิ่งใหญ่,فَقَدۡ ءَاتَيۡنَآ,Kerana sesungguhnya Kami telahpun memberi,"Atau patutkah mereka dengki kepada manusia (Nabi Muhammad dan umatnya) disebabkan nikmat (pangkat Nabi dan ugama Islam) yang telah diberikan oleh Allah kepada mereka dari limpah kurniaNya? Kerana sesungguhnya Kami telahpun memberi kepada keluarga Ibrahim: Kitab (ugama) dan hikmat (pangkat Nabi), dan kami telah memberi kepada mereka kerajaan yang besar.",أَمۡ يَحۡسُدُونَ ٱلنَّاسَ عَلَىٰ مَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضۡلِهِۦۖ فَقَدۡ ءَاتَيۡنَآ ءَالَ إِبۡرَٰهِيمَ ٱلۡكِتَٰبَ وَٱلۡحِكۡمَةَ وَءَاتَيۡنَٰهُم مُّلۡكًا عَظِيمٗا | ٥٤,
4,55,MISTRANSLATION,"The Arabic verb 'صَدَّ' (sadda) in this context means to turn away or turn one's back from something, not to obstruct or hinder (ขัดขวาง). The Malay reference 'berpaling daripadanya' confirms the meaning of turning away.",ผู้ที่ขัดขวางเขา,ผู้ที่ผินหลังให้เขา,PASSED_GUARDRAIL,แล้วในหมู่พวกเขามีผู้ศรัทธาต่อเขา และในหมู่พวกเขามีผู้ที่ขัดขวางเขา และเพียงพอแล้วที่ญะฮันนัมเป็นเปลวเพลิงอันโชติช่วง,แล้วในหมู่พวกเขามีผู้ศรัทธาต่อเขา และในหมู่พวกเขามีผู้ที่ผินหลังให้เขา และเพียงพอแล้วที่ญะฮันนัมเป็นเปลวเพลิงอันโชติช่วง,صَدَّ عَنۡهُ,berpaling daripadanya,"Maka di antara mereka (kaum Yahudi yang dengki itu) ada yang beriman kepada (apa yang telah di kurniakan oleh Allah kepada keluarga Nabi Ibrahim) itu, dan ada pula di antara mereka yang berpaling daripadanya (tidak beriman). Dan cukuplah dengan neraka jahanam yang sentiasa menyala-nyala itu (menjadi tempat seksa mereka).",فَمِنۡهُم مَّنۡ ءَامَنَ بِهِۦ وَمِنۡهُم مَّن صَدَّ عَنۡهُۚ وَكَفَىٰ بِجَهَنَّمَ سَعِيرًا | ٥٥,
