surah,ayah,surah_name_arabic,surah_name_translit,category,raw_thai2_source,final_cleaned_thai,fix_explanation_th,fix_explanation_en
2,14,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,และเมื่อพวกเขาพบบรรดาผู้ศรัทธาพวกเขาก็กล่าวว่า เราศรัทธาแล้ว และเมื่อพวกเขาได้ร่วมอยู่กับบรรดาหัวโจกของพวกเขาแต่ลำพัง พวกเขาก็กล่าวว่า แท้จริงเรายังอยู่กับพวกท่าน ที่จริงเราเป็นแต่เพียงผู้เย้ยหยันเท่านั้น,และเมื่อพวกเขาพบบรรดาผู้ศรัทธา พวกเขาก็กล่าวว่า เราศรัทธาแล้ว และเมื่อพวกเขาได้ร่วมอยู่กับบรรดาหัวโจกของพวกเขาแต่ลำพัง พวกเขาก็กล่าวว่า แท้จริงเรายังอยู่กับพวกท่าน ที่จริงเราเป็นแต่เพียงผู้เย้ยหยันเท่านั้น,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,16,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิด ด้วยทางที่ถูก ดังนั้น การค้าของพวกเขาจึงไม่ได้กำไรและทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิดด้วยทางที่ถูก ดังนั้นการค้าของพวกเขาจึงไม่ได้กำไร และทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,17,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,อุปมาพวกเขานั้น ดังผู้ที่จุดไฟขึ้นครั้งเมื่อไฟได้ให้แสงสว่างแก่สิ่งที่อยู่รอบ ๆ ตัวเขา อัลลอฮฺก็ทรงนำเอาแสงสว่างของพวกเขาไปและปล่อยพวกเขาไว้ในบรรดาความมืด ซึ่งพวกเขาไม่สามารถจะมองเห็นได้,อุปมาพวกเขานั้น ดังผู้ที่จุดไฟขึ้นครั้งเมื่อไฟได้ให้แสงสว่างแก่สิ่งที่อยู่รอบ ๆ ตัวเขา อัลลอฮฺก็ทรงนำเอาแสงสว่างของพวกเขาไป และปล่อยพวกเขาไว้ในบรรดาความมืด ซึ่งพวกเขาไม่สามารถจะมองเห็นได้,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,19,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,หรือดังฝนที่หลั่งลงมาจากฟากฟ้า โดยที่ในฝนนั้นมีทั้งบรรดาความมืด ฟ้าคำรณ และฟ้าแลบ พวกเขาจึงเอานิ้วมือของพวกเขาอุดหูไว้เนื่องจากฟ้าผ่า ทั้งนี้เพราะกลัวความตาย และอัลลอฮฺนั้นทรงล้อม พวกปฏิเสธการศรัทธาเหล่านั้นไว้แล้ว,หรือดังฝนที่หลั่งลงมาจากฟากฟ้า โดยที่ในฝนนั้นมีทั้งบรรดาความมืด ฟ้าคำรณ และฟ้าแลบ พวกเขาจึงเอานิ้วมือของพวกเขาอุดหูไว้เนื่องจากฟ้าผ่า ทั้งนี้เพราะกลัวความตาย และอัลลอฮฺนั้นทรงล้อมพวกปฏิเสธการศรัทธาเหล่านั้นไว้แล้ว,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,20,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,สายฟ้าแลบแทบจะเฉี่ยวสายตาของพวกเขาไปคราใดที่มันให้แสงสว่างแก่พวกเขา พวกเขาก็เดินไปในแสงสว่างนั้น และเมื่อมันมืดลงแก่พวกเขา พวกเขาก็หยุดยืน และหากอัลลอฮฺทรงประสงค์แล้ว แน่นอนก็ทรงนำเอาหูและตาของพวกเขาไปแล้ว แท้จริงอัลลอฮฺนั้นทรงอานุภาพเหนือทุกสิ่งทุกอย่าง,สายฟ้าแลบแทบจะเฉี่ยวสายตาของพวกเขาไป คราใดที่มันให้แสงสว่างแก่พวกเขา พวกเขาก็เดินไปในแสงสว่างนั้น และเมื่อมันมืดลงแก่พวกเขา พวกเขาก็หยุดยืน และหากอัลลอฮฺทรงประสงค์แล้ว แน่นอนก็ทรงนำเอาหูและตาของพวกเขาไปแล้ว แท้จริงอัลลอฮฺนั้นทรงอานุภาพเหนือทุกสิ่งทุกอย่าง,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,21,البقرة,Al-Baqarah,PUNCTUATION_REMOVED,มนุษย์เอ๋ย! จงเคารพอิบาดะฮฺ พระผู้เป็นเจ้าของพวกเจ้าที่ทรงบังเกิดพวกเจ้า และบรรดาผู้ที่มาก่อนพวกเจ้าเถิด เพื่อว่าพวกเจ้าจะยำเกรง,มนุษย์เอ๋ย จงเคารพอิบาดะฮฺพระผู้เป็นเจ้าของพวกเจ้า ที่ทรงบังเกิดพวกเจ้าและบรรดาผู้ที่มาก่อนพวกเจ้าเถิด เพื่อว่าพวกเจ้าจะยำเกรง,"ลบเครื่องหมายวรรคตอนสากลที่ไม่จำเป็น (เช่น ? , . ! “ ”) และจัดช่องไฟให้อ่านลื่นไหล","Removed unnecessary Western punctuation marks (?, ., !, ,, quotes) and normalized spacing"
2,22,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,คือผู้ทรงให้แผ่นดินเป็นที่นอน และฟ้าเป็นอาคารแก่พวกเจ้า และทรงให้น้ำหลั่งลงมาจากฟากฟ้า แล้วได้ทรงให้บรรดาผลไม้ออกมา เนื่องด้วยน้ำนั้น ทั้งนี้เพื่อเป็นปัจจัยยังชีพแก่พวกเจ้า ดังนั้นพวกเจ้าจงอย่าให้มีผู้เท่าเทียมใด ๆ ขึ้น สำหรับอัลลอฮฺ โดยที่พวกเจ้าก็รู้กันอยู่,คือผู้ทรงให้แผ่นดินเป็นที่นอน และฟ้าเป็นอาคารแก่พวกเจ้า และทรงให้น้ำหลั่งลงมาจากฟากฟ้า แล้วได้ทรงให้บรรดาผลไม้ออกมาเนื่องด้วยน้ำนั้น ทั้งนี้เพื่อเป็นปัจจัยยังชีพแก่พวกเจ้า ดังนั้น พวกเจ้าจงอย่าให้มีผู้เท่าเทียมใด ๆ ขึ้นสำหรับอัลลอฮฺ โดยที่พวกเจ้าก็รู้กันอยู่,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,24,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,แต่พวกเจ้าก็ยังมิได้ทำ และจะไม่กระทำตลอดไปแล้ว ก็จงระวังไฟนรก ซึ่งเชื้อเพลิงของมันนั้นคือ มนุษย์ และ หิน โดยที่มันได้ถูกเตรียมไว้ สำหรับบรรดาผู้ปฏิเสธศรัทธา,แต่พวกเจ้าก็ยังมิได้ทำ และจะไม่กระทำตลอดไปแล้ว ก็จงระวังไฟนรก ซึ่งเชื้อเพลิงของมันนั้นคือมนุษย์และหิน โดยที่มันได้ถูกเตรียมไว้สำหรับบรรดาผู้ปฏิเสธศรัทธา,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,25,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,และ (มุฮัมมัด) จงแจ้งข่าวดีแก่บรรดาผู้ศรัทธา และประกอบสิ่งที่ดีทั้งหลายว่า แน่นอนพวกเขาจะได้รับบรรดาสวนสวรรค์ ซึ่งมีแม่น้ำหลายสาย ไหลอยู่ภายใต้สวนสวรรค์เหล่านั้น คราใดที่พวกเขาได้รับผลไม้จากสวนสวรรค์นั้นเป็นเครื่องยังชีพ พวกเขาก็กล่าวว่า นี่คือสิ่งที่เราได้รับเป็นปัจจัยยังชีพมาก่อนแล้วและสิ่งที่พวกเขาได้รับนั้น มีลักษณะคล้ายคลึงกัน และในสวรรค์นั้นพวกเขาจะได้รับคู่ครองที่บริสุทธิ์ และพวกเขาจะพำนักอยู่ในสวรรค์นั้นตลอดกาล,และ (มุฮัมมัด) จงแจ้งข่าวดีแก่บรรดาผู้ศรัทธาและประกอบสิ่งที่ดีทั้งหลายว่า แน่นอนพวกเขาจะได้รับบรรดาสวนสวรรค์ ซึ่งมีแม่น้ำหลายสายไหลอยู่ภายใต้สวนสวรรค์เหล่านั้น คราใดที่พวกเขาได้รับผลไม้จากสวนสวรรค์นั้นเป็นเครื่องยังชีพ พวกเขาก็กล่าวว่า นี่คือสิ่งที่เราได้รับเป็นปัจจัยยังชีพมาก่อนแล้ว และสิ่งที่พวกเขาได้รับนั้นมีลักษณะคล้ายคลึงกัน และในสวรรค์นั้นพวกเขาจะได้รับคู่ครองที่บริสุทธิ์ และพวกเขาจะพำนักอยู่ในสวรรค์นั้นตลอดกาล,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,26,البقرة,Al-Baqarah,TYPO_CORRECTION,แท้จริงอัลลอฮฺไม่ทรงละอาย ในการที่ระองค์จะทรงยกอุทาหรณ์ใด ๆ ขึ้นเปรียบเทียบไม่ว่าจะเป็นริ้นสักตัวหนึ่ง แล้วก็สิ่งที่ยิ่งไปกว่านั้นก็ตาม ส่วนบรรดาผู้ที่ศรัทธานั้น พวกเขาย่อมรู้ว่าแท้จริงมัน คือ ความจริงที่มาจากพระเจ้าของพวกเขา และส่วนบรรดาผู้ที่ปฏิเสธการศรัทธานั้นพวกเขาจะพูดว่า อัลลอฮฺทรงประสงค์สิ่งใดในการยกอุทาหรณ์ด้วยสิ่งนี้? พระองค์ทรงให้คนมากมายหลงผิดด้วยอุทาหรณ์นั้นและทรงแนะนำทางที่ถูกต้องแก่คนมากมายด้วยอุทาหรณ์นั้น และพระองค์จะไม่ทรงให้ใครหลงผิดด้วยอุทาหรณ์นั้น นอกจากผู้ที่ฝ่าฝืนเท่านั้น,แท้จริงอัลลอฮฺไม่ทรงละอายในการที่พระองค์จะทรงยกอุทาหรณ์ใด ๆ ขึ้นเปรียบเทียบ ไม่ว่าจะเป็นริ้นสักตัวหนึ่ง แล้วก็สิ่งที่ยิ่งไปกว่านั้นก็ตาม ส่วนบรรดาผู้ที่ศรัทธานั้น พวกเขาย่อมรู้ว่าแท้จริงมันคือความจริงที่มาจากพระเจ้าของพวกเขา และส่วนบรรดาผู้ที่ปฏิเสธการศรัทธานั้น พวกเขาจะพูดว่า อัลลอฮฺทรงประสงค์สิ่งใดในการยกอุทาหรณ์ด้วยสิ่งนี้ พระองค์ทรงให้คนมากมายหลงผิดด้วยอุทาหรณ์นั้น และทรงแนะนำทางที่ถูกต้องแก่คนมากมายด้วยอุทาหรณ์นั้น และพระองค์จะไม่ทรงให้ใครหลงผิดด้วยอุทาหรณ์นั้น นอกจากผู้ที่ฝ่าฝืนเท่านั้น,"แก้ไขคำผิด/สระตกหล่นจากต้นฉบับเดิม (เช่น แก้คำสะกดผิด, สระจม, อักษรเกิน)",Corrected source spelling typos and missing Thai vowels/consonants
2,27,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,คือบรรดาผู้ที่ทำลายสัญญาของอัลลอฮฺหลังจากที่ได้มีสัญญาไว้แก่พระองค์ และตัดสิ่งที่อัลลอฮฺทรงใช้ให้ต่อและบ่อนทำลายในผืนแผ่นดิน ชนเหล่านี้แหละคือพวกที่ขาดทุน,คือบรรดาผู้ที่ทำลายสัญญาของอัลลอฮฺหลังจากที่ได้มีสัญญาไว้แก่พระองค์ และตัดสิ่งที่อัลลอฮฺทรงใช้ให้ต่อ และบ่อนทำลายในผืนแผ่นดิน ชนเหล่านี้แหละ คือพวกที่ขาดทุน,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,28,البقرة,Al-Baqarah,PUNCTUATION_REMOVED,พวกเจ้าจะปฏิเสธการศรัทธาต่ออัลลอฮฺได้อย่างไร? ทั้ง ๆ ที่พวกเจ้านั้นเคยปราศจากชีวิตมาก่อนแล้วพระองค์ก็ทรงให้เจ้ามีชีวิตขึ้น ภายหลังก็จะทรงให้พวกเจ้าตาย แล้วก็จะทรงให้พวกเจ้ามีชีวิตขึ้นอีก และพวกเจ้าก็จะถูกนำกลับไปสู่พระองค์,พวกเจ้าจะปฏิเสธการศรัทธาต่ออัลลอฮฺได้อย่างไร ทั้ง ๆ ที่พวกเจ้านั้นเคยปราศจากชีวิตมาก่อนแล้ว พระองค์ก็ทรงให้เจ้ามีชีวิตขึ้น ภายหลังก็จะทรงให้พวกเจ้าตาย แล้วก็จะทรงให้พวกเจ้ามีชีวิตขึ้นอีก และพวกเจ้าก็จะถูกนำกลับไปสู่พระองค์,"ลบเครื่องหมายวรรคตอนสากลที่ไม่จำเป็น (เช่น ? , . ! “ ”) และจัดช่องไฟให้อ่านลื่นไหล","Removed unnecessary Western punctuation marks (?, ., !, ,, quotes) and normalized spacing"
2,29,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,พระองค์คือผู้ได้ทรงสร้างสิ่งทั้งมวลในโลกไว้สำหรับพวกเจ้า ภายหลังได้ทรงมุ่งสู่ฟากฟ้า และได้ทำให้มันสมบูรณ์ขึ้นเป็นเจ็ดชั้นฟ้าและพระองค์นั้นได้ทรงรอบรู้ในทุกสิ่งทุกอย่าง,พระองค์คือผู้ได้ทรงสร้างสิ่งทั้งมวลในโลกไว้สำหรับพวกเจ้า ภายหลังได้ทรงมุ่งสู่ฟากฟ้า และได้ทำให้มันสมบูรณ์ขึ้นเป็นเจ็ดชั้นฟ้า และพระองค์นั้นได้ทรงรอบรู้ในทุกสิ่งทุกอย่าง,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,30,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,และจงรำลึกถึงขณะที่พระเจ้าของเจ้าได้ตรัสแก่มลาอิกะฮฺว่า แท้จริงข้าจะให้มีผู้แทนคนหนึ่งในพิภพ มลาอิกะฮฺได้ทูลขึ้นว่า พระองค์จะทรงให้มีขึ้นในพิภพซึ่งผู้ที่บ่อนทำลาย และก่อการนองเลือด ในพิภพกระนั้นหรือ ทั้ง ๆ ที่พวกข้าพระองค์ให้ความบริสุทธิ์ พร้อมด้วยการสรรเสริญพระองค์ และเทิดทูนความบริสุทธิ์ในพระองค์ พระองค์ตรัสว่า แท้จริงข้ารู้ยิ่งในสิ่งที่พวกเจ้าไม่รู้,และจงรำลึกถึงขณะที่พระเจ้าของเจ้าได้ตรัสแก่มลาอิกะฮฺว่า แท้จริงข้าจะให้มีผู้แทนคนหนึ่งในพิภพ มลาอิกะฮฺได้ทูลขึ้นว่า พระองค์จะทรงให้มีขึ้นในพิภพซึ่งผู้ที่บ่อนทำลาย และก่อการนองเลือดในพิภพกระนั้นหรือ ทั้ง ๆ ที่พวกข้าพระองค์ให้ความบริสุทธิ์พร้อมด้วยการสรรเสริญพระองค์ และเทิดทูนความบริสุทธิ์ในพระองค์ พระองค์ตรัสว่า แท้จริงข้ารู้ยิ่งในสิ่งที่พวกเจ้าไม่รู้,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,32,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,พวกเขา(บรรดามลาอิกะฮฺ)ทูลว่า มหาบริสุทธิ์พระองค์ท่านไม่มีความรู้ใด ๆ แก่พวกข้าพระองค์นอกจากสิ่งที่พระองค์ได้ทรงสอนพวกข้าพระองค์เท่านั้น แท้จริงพระองค์คือผู้ทรงรอบรู้ ผู้ทรงปรีชาญาณ,พวกเขา (บรรดามลาอิกะฮฺ) ทูลว่า มหาบริสุทธิ์พระองค์ท่าน ไม่มีความรู้ใด ๆ แก่พวกข้าพระองค์ นอกจากสิ่งที่พระองค์ได้ทรงสอนพวกข้าพระองค์เท่านั้น แท้จริงพระองค์คือผู้ทรงรอบรู้ ผู้ทรงปรีชาญาณ,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,33,البقرة,Al-Baqarah,PUNCTUATION_REMOVED,พระองค์ตรัสว่า โอ้อาดัม! จงบอกบรรดาชื่อของสิ่งเหล่านั้นแก่พวกเขาที (บรรดามลาอิกะฮฺ) ครั้นเมื่ออาดัมได้บอกชื่อของสิ่งเหล่านั้นแก่พวกเขาแล้ว พระองค์จึงตรัสว่า ข้ามิได้บอกแก่พวกเจ้าดอกหรือว่า แท้จริงข้าเป็นผู้รู้ยิ่งซึ่งความเร้นลับแห่งชั้นฟ้าทั้งหลายและแผ่นดินและเป็นผู้รู้ยิ่งในสิ่งที่พวกเจ้าเปิดเผยและสิ่งที่พวกเจ้าปกปิด,พระองค์ตรัสว่า โอ้อาดัม จงบอกบรรดาชื่อของสิ่งเหล่านั้นแก่พวกเขาที (บรรดามลาอิกะฮฺ) ครั้นเมื่ออาดัมได้บอกชื่อของสิ่งเหล่านั้นแก่พวกเขาแล้ว พระองค์จึงตรัสว่า ข้ามิได้บอกแก่พวกเจ้าดอกหรือว่า แท้จริงข้าเป็นผู้รู้ยิ่งซึ่งความเร้นลับแห่งชั้นฟ้าทั้งหลายและแผ่นดิน และเป็นผู้รู้ยิ่งในสิ่งที่พวกเจ้าเปิดเผย และสิ่งที่พวกเจ้าปกปิด,"ลบเครื่องหมายวรรคตอนสากลที่ไม่จำเป็น (เช่น ? , . ! “ ”) และจัดช่องไฟให้อ่านลื่นไหล","Removed unnecessary Western punctuation marks (?, ., !, ,, quotes) and normalized spacing"
2,34,البقرة,Al-Baqarah,TYPO_CORRECTION,และจงรำลึกถึง ขณะที่เราได้กล่าวแก่มลาอิกะฮฺว่า พวกเจ้าจงสุยูด แก่อาดัมเถิด แล้วพวกเขาก็สุยูดกัน นอกจากอิบลีสทโดยที่มันไม่ยอมสุยูด และแสดงโอหัง และมันจึงได้กลายเป็นผู้สิ้นสภาพแห่งการศรัทธา (กาฟิรฺ),และจงรำลึกถึง ขณะที่เราได้กล่าวแก่มลาอิกะฮฺว่า พวกเจ้าจงสุยูดแก่อาดัมเถิด แล้วพวกเขาก็สุยูดกัน นอกจากอิบลีส โดยที่มันไม่ยอมสุยูด และแสดงโอหัง และมันจึงได้กลายเป็นผู้สิ้นสภาพแห่งการศรัทธา (กาฟิรฺ),"แก้ไขคำผิด/สระตกหล่นจากต้นฉบับเดิม (เช่น แก้คำสะกดผิด, สระจม, อักษรเกิน)",Corrected source spelling typos and missing Thai vowels/consonants
2,35,البقرة,Al-Baqarah,TYPO_CORRECTION,และเราได้กล่าว่า โอ้ อาดัม ! เจ้าและคู่ครองของเจ้าจงพำนักอยู่ในสวนสวรรค์นั้นเถิดและเจ้าทั้งสองจงบริโภคจากสวนนั้นอย่างกล้างขวาง ณ ที่ที่เจ้าทั้งสองปรารถนา และอย่าเข้าใกล้ต้นไม้ต้นนี้ (มิเช่นนั้นแล้ว) เจ้าทั้งสองจะกลายเป็นผู้อธรรมแก่ตัวเอง,และเราได้กล่าวว่า โอ้ อาดัม เจ้าและคู่ครองของเจ้าจงพำนักอยู่ในสวนสวรรค์นั้นเถิด และเจ้าทั้งสองจงบริโภคจากสวนนั้นอย่างกว้างขวาง ณ ที่ที่เจ้าทั้งสองปรารถนา และอย่าเข้าใกล้ต้นไม้ต้นนี้ (มิเช่นนั้นแล้ว) เจ้าทั้งสองจะกลายเป็นผู้อธรรมแก่ตัวเอง,"แก้ไขคำผิด/สระตกหล่นจากต้นฉบับเดิม (เช่น แก้คำสะกดผิด, สระจม, อักษรเกิน)",Corrected source spelling typos and missing Thai vowels/consonants
